GenA	GenB	MI
EIF2B5	ABCF3	0.295646
PIK3CG	ARHGAP30	0.295603
BUD13	PAFAH1B2	0.29557
SIGLEC9	C1orf162	0.295552
RHOH	GIMAP1	0.29553
WAS	KCNAB2	0.295524
BTK	ARHGAP25	0.295496
RASAL3	PLCB2	0.295477
NDUFB9	COX6C	0.295466
ZNF7	SHARPIN	0.29542
DBR1	TOPBP1	0.295382
MYCT1	GPR4	0.295339
MROH1	SLC52A2	0.295331
PIK3CA	SENP2	0.295325
BTK	TNFAIP8L2	0.295281
ST8SIA4	GPR65	0.295262
ZNF671	FERMT3	0.295245
MKRN2	UBP1	0.295216
MAP4K1	RAB33A	0.295196
BTK	SLC8A1	0.295182
NUP88	RPAIN	0.295176
DOK3	FERMT3	0.295175
CD86	SLC8A1	0.295161
CD34	PECAM1	0.295145
TASL	MNDA	0.295117
SMARCAL1	RETREG2	0.295099
LRRC25	ADAP2	0.295056
ZNF671	GYPC	0.295044
NSUN2	MARCHF6	0.295036
ACAP1	ZNF671	0.295036
TELO2	CHTF18	0.295029
COPS5	ELOC	0.294992
LCP2	MNDA	0.294988
CASP1	CASP4	0.294966
TWNK	NOC3L	0.294901
HAVCR2	FCGR2A	0.294886
TRAF3IP3	LCK	0.294867
CLUH	SCO1	0.294857
VHL	BRPF1	0.294852
DCTN6	CNOT7	0.29482
FAM78A	TAGAP	0.294805
ABCA6	JAM2	0.294792
TCEAL4	TCEAL3	0.294778
ZNF7	ZNF16	0.294767
APBB1IP	MAP4K1	0.294612
TBXAS1	C3AR1	0.294603
TRAF3IP3	NLRC3	0.294599
ALKBH1	SNW1	0.29459
RFC4	DNAJC19	0.294578
BCL7C	ATP5MC2	0.294545
PPM1G	NOL10	0.294517
MAP4K1	ARHGAP25	0.2945
PLCB2	GAB3	0.294499
TRAF3IP3	DOCK8	0.294494
CD86	SIGLEC9	0.294474
CSF1R	SLC8A1	0.294446
UMPS	ZNF148	0.294413
VHL	UBP1	0.294406
LPXN	FERMT3	0.294362
NCKAP1L	SIGLEC9	0.29435
TYROBP	ADAP2	0.294327
NCKAP1L	LY96	0.294322
NCAPG2	NUP205	0.294289
LY86	LAPTM5	0.294287
SCO1	ANKFY1	0.29424
ORC3	RARS2	0.294166
CTBP1	CTBP1-DT	0.294165
NIPBL	RIMOC1	0.294141
LARS2	USP19	0.294067
ARHGAP25	TRPV2	0.294061
LAPTM5	MS4A7	0.294058
RAB3GAP2	BROX	0.294041
COPZ1	NSMCE1	0.294023
MTRF1	NAA16	0.293967
DHX15	ZCCHC4	0.293911
C1orf43	UBE2Q1	0.293894
CGGBP1	ZNF654	0.293892
PTPN23	ARIH2	0.293856
PIK3CG	HAVCR2	0.293853
PDCD10	ACTL6A	0.293809
WBP4	MED4	0.293804
ARHGAP25	SEPTIN1	0.293789
SELPLG	GPSM3	0.293773
DCUN1D1	NCBP2	0.29373
FAM193A	PIGG	0.293727
TASL	AIF1	0.293726
TPGS1	ADAT3	0.293692
ZNF330	USP38	0.293678
LY96	ZEB2	0.293642
RBMX2	UTP14A	0.293621
ZNF687	RPRD2	0.293596
SASH3	SFMBT2	0.293572
FCER1G	SLC8A1	0.293558
XPO4	SKA3	0.293495
ANKRD44	ARHGEF6	0.293485
KLHL18	RRP9	0.293458
ABI3	TNFAIP8L2	0.29343
BTN3A3	BTN3A2	0.293405
RAB5A	CCDC174	0.293395
DCAF1	UBP1	0.293366
NUP98	MRPL17	0.293348
CTBP1	MRFAP1	0.293342
DHX38	SF3B3	0.293328
BOD1L1	TMEM33	0.293302
ESAM	ADGRL4	0.293264
CCNC	MAP3K7	0.293257
RABEP1	NCBP3	0.293253
USP19	CCDC71	0.29323
PLEKHG5	TNFRSF25	0.293184
LCK	CASP4LP	0.293158
APBB1IP	SPN	0.293158
PCDH12	ARHGEF15	0.29315
LINC00674	LRRC37A16P	0.293125
ZC3H15	WDR75	0.293119
DDX27	RALGAPB	0.293112
NCKAP1L	TLR4	0.293106
RIC1	RCL1	0.293095
MMAB	ALG1L1P	0.293057
EIF2B5	SENP2	0.293051
BCL7C	LCMT1	0.293034
NCBP3	NUP88	0.292941
DCUN1D1	MFN1	0.292926
NCKAP1L	NLRC3	0.292902
ACTL6A	MFN1	0.2929
C5orf22	NIPBL	0.292889
SIL1	SNRPN	0.292885
GPR34	LRRC25	0.292874
ZBTB49	MRFAP1L1	0.292873
LCP2	SPI1	0.292865
SMUG1	ALG1L1P	0.292827
DIPK2B	S1PR1	0.29281
MRPL13	PUF60	0.292802
HSPA12B	JAM2	0.292772
NOVA2	MYCT1	0.29276
POLR2H	RFC4	0.292755
TASL	CSF1R	0.292714
DROSHA	BRIX1	0.292713
LMF1	SIL1	0.292686
TUSC2	WDR82	0.292639
MRPL3	MIX23	0.292633
RNF216	INTS15	0.292631
HIKESHI	TMEM126A	0.292625
CD33	DOCK2	0.29262
KCNAB2	TRPV2	0.292601
PTPN7	TAGAP	0.292568
ZEB2	FPR3	0.292475
PIK3R5	LY96	0.29247
CCDC174	FGD5-AS1	0.292468
MLH1	CNOT10	0.292433
DPM1	PSMA7	0.292426
SPI1	GAB3	0.292425
HAVCR2	MNDA	0.292409
SASH3	DOCK10	0.292398
MED10	MRPL36	0.292362
RASSF4	GAB3	0.292361
RAB22A	SERINC3	0.29235
SDHAP1	MUC20-OT1	0.292336
LCP2	AIF1	0.292331
FERMT3	CSF1R	0.292324
EDEM2	TRPC4AP	0.292323
MFNG	SNX20	0.292246
ACTL6A	SENP2	0.292233
APBB1IP	NLRC3	0.292228
SIL1	FAAP20	0.29222
LRRC25	AIF1	0.2922
NELFCD	TAF4	0.292187
MTERF4	COPS8	0.292143
NDUFB11	RBM10	0.292102
NSUN2	MTRR	0.292098
TAGAP	SEPTIN1	0.292091
HSPA12B	CLEC14A	0.29201
RASGRP2	CD37	0.291929
PSMD8	MRPS12	0.291907
PARVG	IKZF1	0.291887
CD86	LRRC25	0.291885
XRCC5	AAMP	0.291854
ARHGEF6	GNG2	0.291844
CD33	TLR4	0.291785
DOCK8	GPR65	0.291768
PTPN7	ARHGAP25	0.291745
CEP131	LRRC45	0.291722
C19orf25	MED16	0.291702
CCAR2	TNKS	0.291656
RAB5A	EAF1	0.291653
ACVRL1	CD34	0.291613
CIT	TROAP	0.291608
DOCK8	CD226	0.291602
AKNA	ARHGEF6	0.291582
IFFO1	GYPC	0.291581
TENT4A	CCT5	0.29155
FERMT3	MS4A7	0.291548
LSG1	DVL3	0.291546
TSR1	GEMIN4	0.291532
ACTR8	NEK4	0.291507
CASZ1	QTRT1	0.291478
FMR1	VMA21	0.291475
WBP4	NAA16	0.291473
CCDC71	QRICH1	0.291469
ZW10	CHEK1	0.291446
TESPA1	GNG2	0.291444
STEEP1	UBE2A	0.291422
NCKAP1L	LCK	0.291401
PIK3CG	PARVG	0.291382
FERMT3	AIF1	0.291359
NAA50	DNAJC13	0.291355
MAP4K1	FMNL1	0.291351
HAVCR2	PARVG	0.291335
NUP155	RIMOC1	0.291264
CD33	PIK3R5	0.29126
SIL1	TMEM219	0.29124
SPI1	PIK3R5	0.291205
TRAPPC11	RWDD4P2	0.29119
TEK	KDR	0.291177
PIM2	PIK3CG	0.291163
CORO1A	GPSM3	0.291163
WDR48	USP19	0.29115
LARS2	DHX30	0.291145
RAMP3	JAM2	0.291142
IFFO1	CD37	0.291104
PSMD3	RAB5C	0.291079
CD86	MARCHF1	0.291078
DVL3	PAK2	0.291068
MRPS2	PMPCA	0.290984
C1QBP	MYBBP1A	0.290978
GPKOW	ARAF	0.290969
BRD9	CCT5	0.290963
SAP18	MRPL57	0.290954
FCER1G	TRPV2	0.290946
CAPZA1	BCAS2	0.290919
PDCD11	NOC3L	0.290894
VAMP7	MTM1	0.290882
ZPR1	NKAPD1	0.290876
TASL	DOK2	0.290813
CFAP97	RWDD4	0.290805
HIC2	PI4KAP2	0.290803
RPUSD4	ZNF202	0.290794
SHARPIN	PUF60	0.290774
QARS1	QRICH1	0.290766
LINC00667	LINC00526	0.290765
ZNF304	TRAPPC2B	0.290758
ETFB	NSMCE1	0.290748
DHX30	RAD54L2	0.29073
VPS53	PRPF8	0.29072
CD37	LCK	0.29071
PIK3R5	MS4A7	0.290701
BTK	GYPC	0.290689
MARCHF6	ICE1	0.29067
EIF4E	NAA15	0.290661
PBRM1	SMARCC1	0.290655
RPS25	PAFAH1B2	0.290584
MCPH1	TNKS	0.290523
TIE1	ESAM	0.290503
MFNG	CD37	0.290492
FXR2	TIMM22	0.290484
BRD9	MRPL36	0.290484
PIK3CG	GYPC	0.290472
PIK3CG	ARHGAP25	0.290471
PRPF8	ANKFY1	0.290469
DIDO1	ZGPAT	0.290449
USP4	QRICH1	0.290444
PUS3	RPUSD4	0.290444
PIK3CG	ZEB2	0.290438
NAA50	GTPBP8	0.290436
MAP4K1	PIK3CG	0.290433
LPXN	DOCK2	0.290428
NLRC4	CSF1R	0.290403
DLAT	NKAPD1	0.290391
CLIP2	CCDC57	0.290364
MFNG	GYPC	0.290354
PLVAP	LDB2	0.290333
PPP4R2	PDHB	0.290296
MOCS3	SPATA2	0.290262
RAB28	PACRGL	0.290256
IFFO1	SNX20	0.290252
PPP4R2	PBRM1	0.290247
USP19	IP6K1	0.290231
BTK	TESPA1	0.290201
RNF4	GRPEL1	0.290182
ARHGEF7	TUBGCP3	0.290159
GOLGA2P10	CSPG4P12	0.290143
GLOD4	MRM3	0.290114
NCBP3	CTC1	0.290104
NKTR	NR2C2	0.290082
OR2A20P	ARHGEF35-AS1	0.290076
TLR4	CCR1	0.29007
CDCA8	KIF2C	0.290064
RANBP3	SIRT6	0.290057
CNPPD1	CNOT9	0.290025
TAF2	INTS8	0.290007
STK25	ING5	0.289922
CD86	FCGR2A	0.28992
NUP88	RPA1	0.289898
IFFO1	PDE1B	0.289897
NELFCD	DDX27	0.28987
GIMAP6	IKZF1	0.289836
GNA11	CACTIN	0.289809
SUMF2	NIPSNAP2	0.289791
GYPC	LY96	0.289789
MS4A6A	SLC39A13-AS1	0.289773
PTPN23	BRPF1	0.289745
ZNF671	TMEM273	0.289714
FAM78A	CD226	0.289713
GNG2	SPN	0.289691
RASAL3	DOK2	0.289672
BCS1L	ZNF142	0.28967
MFNG	TESPA1	0.289618
PHRF1	MRPL17	0.289602
ABI3	GIMAP1	0.289602
ATG5	LYRM2	0.289583
CLEC2D	ARHGAP25	0.28958
BAZ1B	POM121C	0.289571
LSG1	EIF2B5	0.289568
KIAA1143	SETD2	0.289544
ZNF230	ZNF224	0.289519
APBB1IP	GNG2	0.289512
WDR48	DCAF1	0.289491
CD34	A2M	0.289491
RNH1	RHOG	0.28949
ZNF671	MYO1F	0.289488
UBP1	SMARCC1	0.289456
TIMM22	GEMIN4	0.289437
ABI3	MNDA	0.289436
ARHGEF6	GIMAP1	0.289432
TBPL1	HDAC2	0.289425
ORC3	MMS22L	0.289395
JAK3	TESPA1	0.289389
GIMAP6	PIK3R5	0.289387
CD37	AKNA	0.289365
YTHDF1	SPATA2	0.289359
PIK3R5	ARHGAP30	0.28935
SASH3	IKZF3	0.289301
DOCK8	GIMAP6	0.289301
ZEB2	SLC39A13-AS1	0.289284
MNDA	CCR1	0.289283
BIN3	CCAR2	0.289274
CD4	GPSM3	0.289264
GEMIN4	SMYD4	0.289258
FGR	ITGAX	0.289212
DIPK2B	ESAM	0.28918
PHF23	FXR2	0.289178
MNDA	RNASE6	0.289165
CLPP	MICOS13	0.289155
ZNF189	FAM120AOS	0.289152
HMBOX1	CCAR2	0.289112
PTPN7	TRPV2	0.289076
PSMD4	PSMB4	0.289076
WDR48	QRICH1	0.289065
ENY2	UQCRB	0.289042
ITGA4	TASL	0.289013
EMD	VAMP7	0.289011
MAK16	CNOT7	0.288996
NDUFB7	UBA52	0.28899
TMEM184C	PRMT9	0.288989
CLEC2D	RHOH	0.288985
ZNF671	GAB3	0.288979
ANKFY1	NEURL4	0.288918
FXR2	PRPF8	0.288915
MYO1F	MNDA	0.288869
CCDC22	UXT	0.288845
PLD2	MINK1	0.288838
C1orf162	MS4A7	0.288829
LAT2	LAPTM5	0.288807
SMARCC1	ARIH2	0.288803
ETFB	SMUG1	0.288798
PIGG	ZNF721	0.288778
ASH1L	YY1AP1	0.288778
APBB1IP	RAB33A	0.288773
GAR1	AIMP1	0.28877
RASAL3	ABI3	0.288758
ITGA4	GPSM3	0.288743
IKZF1	TRPV2	0.288723
GIMAP6	GNG2	0.288705
TASL	CD180	0.28866
NUP85	SRP68	0.288638
TNFRSF1B	ARHGAP9	0.288632
TLR4	GPR65	0.288623
CLIP2	ARRB1	0.288615
C1orf162	LILRB3	0.288609
SCAP	QRICH1	0.288574
AP3D1	SGTA	0.288557
ZNF687	PI4KB	0.288548
KRTCAP2	RUSC1-AS1	0.288518
PAFAH1B1	RPA1	0.288459
USP5	PHB2	0.288445
MED4	ESD	0.288421
LY86	MS4A7	0.288396
ZNF230	ZNF225	0.288375
PPP1R26	PPP1R26-AS1	0.28834
DHX15	MRFAP1	0.28831
JAK3	SASH3	0.288283
ILKAP	COPS8	0.288278
SLC30A9	RFC1	0.28826
ACAP1	ARHGAP25	0.288249
SPN	GPSM3	0.288185
SEPTIN1	GIMAP1	0.288182
CLASP2	PDCD6IP	0.288144
TMEM128	MRFAP1L1	0.288133
MMAB	MICOS10	0.288128
APBA3	PIAS4	0.288121
ELF2	RAB33B	0.288109
CCDC71	RBM15B	0.288076
NUP88	PSMB6	0.28807
KIF23	CCNB2	0.288057
MEF2C	GYPC	0.288039
RTN4IP1	DISP1	0.287984
UBE2A	NKAP	0.287949
MYCT1	PLVAP	0.28793
BOD1L1	DHX15	0.287915
DOCK2	GIMAP8	0.287905
DHX30	IP6K1	0.287889
MTG2	TAF4	0.287804
ZC3H12D	SEPTIN1	0.287796
TUSC2	KIAA1143	0.287792
MAEA	FAM193A	0.287779
PRELID3B	RAB22A	0.287771
ACTR8	SPCS1	0.287771
RAD1	PAIP1	0.287767
MOB2	NAP1L4	0.287761
MEF2C	PDGFRB	0.287761
CACTIN	FZR1	0.28774
LY96	FPR3	0.287708
ST8SIA4	CD226	0.287706
APPL1	PDE12	0.287639
SCO1	NEURL4	0.28763
POLR2H	SENP2	0.287599
WDR1	MRFAP1L1	0.287575
RTF2	ACOT8	0.287561
MEF2C	PECAM1	0.287541
ARMH3	ACTR1A	0.287536
CYTH4	LCK	0.287535
DOCK8	TRPV2	0.287501
WDR48	SMARCC1	0.287403
GAB3	GNGT2	0.287382
CTBP1	MRFAP1L1	0.287377
C1orf54	GIMAP8	0.287369
CSNK2A1	TBC1D20	0.287367
DCUN1D1	PDCD10	0.28736
LCP2	FCER1G	0.287322
C1orf54	AIF1	0.287236
CAPN7	RAB5A	0.287199
MYBBP1A	PFAS	0.287192
SLC8A1	SLC39A13-AS1	0.287176
ZC3H15	CWC22	0.287166
ATG5	QRSL1	0.287164
SAP18	ZDHHC20	0.287159
SENP5	SENP2	0.287142
ARHGAP25	LCK	0.287139
RALY	CTNNBL1	0.287115
SMUG1	DISP1	0.2871
DCAF1	APEH	0.28708
C2CD5	ETNK1	0.287036
CYTH4	GNG2	0.287027
NOVA2	HSPA12B	0.287025
NUP133	NVL	0.287023
WDR48	CCDC174	0.28702
NSFL1C	CSNK2A1	0.287016
CCR1	TRPV2	0.286998
DIS3	PIBF1	0.286984
SNX4	ZNF148	0.28697
FAM78A	CASP4LP	0.286935
ITGA4	DOCK10	0.286928
GORASP1	SACM1L	0.286901
PBRM1	PDHB	0.286883
NFKBIZ	ZC3H12A	0.286855
EMCN	A2M	0.286848
KDR	ADGRL4	0.286784
ZNF330	TMA16	0.28677
TMEM273	GIMAP1	0.286751
XAB2	STXBP2	0.286717
JAM2	ARHGEF15	0.28671
ABCF3	POLR2H	0.286689
DOCK8	ARHGEF6	0.28664
ZEB1	ZCCHC24	0.286618
ACAP1	ARHGAP30	0.28661
AKAP10	MAPK7	0.286576
AGAP2	PTPN7	0.286571
KPNA1	ZNF148	0.286566
CENPE	CCNA2	0.28656
PBRM1	SETD2	0.286554
SIGLEC9	FCGR2A	0.286549
PIK3C2A	TMEM41B	0.286504
BRPF1	FGD5-AS1	0.286429
ZNF45	ZNF227	0.286427
IKZF3	RHOH	0.286422
SPI1	TNFAIP8L2	0.286417
PSMF1	SNRPB	0.286411
SIGLEC9	OSCAR	0.286329
ARHGEF6	PIK3R5	0.286321
BTK	C1orf54	0.286316
ZNF808	ZNF611	0.286295
PTOV1	PTOV1-AS2	0.286291
UQCRC1	EXOSC7	0.286289
LCP2	KCNAB2	0.286261
ARHGAP25	CASP4LP	0.28621
PRPF8	CTDNEP1	0.286204
APBB1IP	GIMAP6	0.286202
MAP2K2	MICOS13	0.286185
NKAP	RNF113A	0.286177
C11orf58	NAP1L4	0.286154
BTK	SLC39A13-AS1	0.286153
RASAL3	ARHGAP45	0.286148
FAM78A	MYO1G	0.286148
BAG4	LSM1	0.286137
CCAR2	PPP2R2A	0.286123
GRPEL1	HAUS3	0.286103
OTUD4	USP38	0.286083
IFIH1	CMPK2	0.286073
ACTR8	SETD2	0.286041
RASGRP2	RHOH	0.286034
MARCHF1	FERMT3	0.286017
IFFO1	CD4	0.286003
IFFO1	PLXNC1	0.285966
PIK3R5	C3AR1	0.285953
LY86	GPR65	0.285931
TIMM50	MRPS12	0.285918
CD33	CD86	0.285888
MRPL36	EXOC3	0.285886
IFFO1	TMEM273	0.285873
YBX1P1	NPM1P27	0.285858
TBP	C6orf120	0.285838
WDR82	USP19	0.285835
ELMO1	GAB3	0.285823
ZNF433	ZNF442	0.285799
DVL2	PRPF8	0.285733
ACAP2	PAK2	0.285728
IFFO1	GIMAP6	0.285713
ABCF1	GNL1	0.285709
ITGA4	DOCK2	0.285676
SCRIB	FAM83H	0.285627
UXT	NDUFB11	0.28561
ZNF671	CYTH4	0.285603
ARHGAP30	TRPV2	0.285603
LARS2	QRICH1	0.285566
CASZ1	ATP5MC2	0.285532
SUV39H1	TIMM17B	0.285492
C1orf162	ZEB2	0.285483
REXO1	CACTIN	0.285466
CD33	GPR65	0.285443
TUBGCP3	TFDP1	0.285429
STEEP1	NKAP	0.285398
JAM2	GPRASP1	0.285397
GNL3	IFRD2	0.285393
RAD23B	PRPF4	0.285363
VIRMA	PUF60	0.28534
PPP1R7	SEPTIN2	0.285335
MAF1	C8orf33	0.285323
CORO1A	ARHGAP30	0.285301
CYTH4	SEPTIN1	0.28527
PIK3CA	UBXN7	0.285227
RNF121	LAMTOR1	0.285218
MNDA	SNX20	0.28519
TAGAP	GIMAP1	0.285185
NSUN3	DHFR2	0.285159
TWNK	PPRC1	0.285091
RNF6	NUP58	0.285035
COPB1	UEVLD	0.285004
ENY2	POLR2K	0.28498
FAM78A	TESPA1	0.28497
GOLPH3	MTMR12	0.284968
GNG2	GIMAP1	0.284965
ABI3	SPN	0.284962
PNO1	PNPT1	0.284959
PIK3CG	MS4A6A	0.284935
MAEA	PIGG	0.284934
CNRIP1	ABCA6	0.284929
PIK3C2A	USP47	0.2849
MYO1F	GNG2	0.284894
S1PR1	CD34	0.284891
PTPN7	CASP4LP	0.284878
SLC4A1AP	GPN1	0.284871
PIK3CG	LCK	0.284823
TIE1	HSPA12B	0.284791
CD37	ARHGAP30	0.284755
TSG101	RPS13	0.284739
LDB2	FAM110D	0.284677
TBXAS1	LRRC25	0.28465
NELFCD	STAU1	0.284613
RAB33A	ARHGAP25	0.284611
RFC4	WDR53	0.284606
TASL	HNRNPA1P21	0.284605
RASGRP2	ZNF671	0.284596
ZNF527	ZNF461	0.284595
CRK	TSR1	0.284595
LAT2	ABI3	0.284581
IFFO1	SASH3	0.284579
ELOB	NMRAL1	0.284579
JAK3	MYO1F	0.284548
RBM5	NKTR	0.28453
LAT2	ARHGAP9	0.284519
RBM7	RPUSD4	0.284501
FERMT3	SEPTIN1	0.2845
IKZF1	GNG2	0.284479
SLC35A5	USF3	0.284477
NCKAP1L	SFMBT2	0.284467
SIL1	C7orf50	0.284465
TNFAIP8L2	RNASE6	0.284446
CWC15	CEP57	0.28443
DYNC1LI1	CNOT10	0.284421
ZC3H13	MED4	0.284417
RPS16	SAMD4B	0.284414
R3HCC1	CCAR2	0.284393
PMS1	WDR75	0.284389
PCDH12	DLL4	0.284376
ZNF140	ZNF84	0.284349
MS4A6A	SIGLEC9	0.284348
ZNF566	ZNF529	0.284334
FYTTD1	PAK2	0.28431
OSBPL11	ZNF148	0.284257
RAF1	DCAF1	0.284229
PPP1R7	MTERF4	0.284225
PDGFRB	CD93	0.284217
CD37	PARVG	0.284152
MRM3	TIMM22	0.284145
SETD5	FGD5-AS1	0.284111
TMEM128	RAB28	0.284101
LRRC32	S1PR1	0.284094
DERL1	FAM91A1	0.284087
TNFAIP8L2	MNDA	0.284084
RRP9	GNL3	0.284082
NDUFAF4	RPF2	0.284079
SLC11A1	SIGLEC9	0.284072
LAS1L	ABCB7	0.284051
TTI1	DDX27	0.284041
LCP2	GPSM3	0.284003
ZNF529	ZNF461	0.283996
JAK3	ARHGAP9	0.283996
APEH	RNF123	0.283962
TRAF3IP3	SPN	0.283949
WAS	JAK3	0.283942
ZNF671	CORO1A	0.283912
SLC25A38	CNOT10	0.283903
ZEB2	C3AR1	0.283892
RAB22A	YTHDF1	0.28389
MFNG	SELPLG	0.283874
ZNF7	C8orf33	0.283871
LY86	C1orf162	0.28386
ATG16L1	GIGYF2	0.283858
FXR1	DNAJC19	0.283852
STAU1	YTHDF1	0.283844
MAP2K4	PSMB6	0.283823
KCNAB2	NCKAP1L	0.283815
STK25	DTYMK	0.283731
ADNP	CSTF1	0.283716
TESPA1	TSPOAP1-AS1	0.283682
ACAP1	TAGAP	0.283679
LATS1	MANEA	0.283666
PUF60	C8orf33	0.283655
LY86	HAVCR2	0.283637
ABI3	GIMAP8	0.28362
FAM78A	PLCB2	0.283619
XRCC5	RNF25	0.283608
RRP36	XPO5	0.283588
CD37	LPXN	0.283571
VHL	TATDN2	0.28357
TIMM17B	NDUFB11	0.283566
UBR5	MTDH	0.283565
ETFB	MMAB	0.283547
RNF114	SPATA2	0.283491
LCP2	FPR3	0.283485
ITCH	NCOA6	0.283449
RPS13	RRP8	0.283448
MTG2	TTI1	0.283441
CD4	GIMAP8	0.28342
RIGI	OAS2	0.283402
TBXAS1	LAPTM5	0.283396
ZW10	RPS25	0.283383
ELOB	GALNT14	0.283311
LCP2	SFMBT2	0.283303
SGO1	KIF15	0.283295
WASHC5	PUF60	0.283271
FAM78A	IKZF3	0.283245
FAM193A	TADA2B	0.283245
TBP	SCAF8	0.283212
SMCR8	ANKFY1	0.283205
STAG1	TOPBP1	0.283198
ACTR5	AAR2	0.283159
CUL3	AAMP	0.283156
ITGAE	LCK	0.28315
CD226	GNG2	0.283137
HAX1	DEDD	0.2831
RNF32	RNF32-DT	0.283093
RAMP3	HSPA12B	0.283036
RPS13	GTF2H1	0.282991
AASDHPPT	CWF19L2	0.282983
CTBP1	PIGG	0.282965
ADGRF5	TEK	0.282956
LHX4	NFATC2IP-AS1	0.282952
CD4	FAM78A	0.282949
YME1L1	CDC123	0.282945
ARHGEF7	CUL4A	0.282902
ZNF131	RIMOC1	0.282895
TMEM115	USP19	0.282893
TAGAP	NLRC3	0.282857
NSD2	HAUS3	0.282785
MYO1G	TRPV2	0.282782
TTLL4	CNOT9	0.282746
DIPK2B	GPR4	0.282719
GORASP1	PBRM1	0.282717
MS4A6A	GPR65	0.282674
B4GALT3	PEX19	0.282662
MED28	RAB28	0.282636
TM9SF4	ASXL1	0.282629
ASH1L	UBQLN4	0.282623
ROBO4	COL4A1	0.282602
TRPV2	GPSM3	0.282575
SNX20	NLRC3	0.28256
NCKAP1L	GYPC	0.28255
ZNF529	ZNF345	0.282547
SCAP	TMEM115	0.282532
CD4	SLC39A13-AS1	0.282512
ADD1	TNIP2	0.282495
NGLY1	OXSM	0.282462
EHMT2	BAG6	0.282441
DCTD	FBXO8	0.282428
EIF1B	EAF1	0.28237
PLXNC1	TLR4	0.282367
GIMAP8	TMEM273	0.282345
ST8SIA4	RHOH	0.282322
IKZF1	GIMAP1	0.282299
SLBP	MRFAP1L1	0.282259
CSE1L	DDX27	0.282247
LCP2	JAK3	0.282204
LRRC32	DIPK2B	0.282132
CORO1A	DOCK8	0.282113
UTP25	HEATR1	0.282102
ATF2	SP3	0.282068
ARL6	ARL13B	0.282042
GSK3B	NAA50	0.282007
LAPTM5	CSF1R	0.281987
ALG3	EEF1AKMT4	0.281966
LSM3	METTL6	0.28194
SPATA2	RALGAPB	0.281933
MRPL18	PCMT1	0.281933
NDUFA2	SRA1	0.281928
CDC16	UPF3A	0.281927
SMARCC1	SETD2	0.281918
CUL1	RHEB	0.281909
ESAM	ARHGEF15	0.2819
AP1G1	IST1	0.281859
SASH3	IRF8	0.281838
MFNG	GIMAP6	0.281824
BRD9	ICE1	0.281805
WRAP53	PSMB6	0.281798
GIMAP1	GPSM3	0.281798
NUFIP1	WBP4	0.281787
KIAA1143	FGD5-AS1	0.281778
FAM78A	DOK2	0.281768
TLR4	AIF1	0.281761
DOCK2	GYPC	0.281757
VHL	CCDC174	0.281742
APOBEC3F	APOBEC3G	0.28174
NLRC3	CASP4LP	0.281659
PIK3CG	CD86	0.281616
SELPLG	DOCK10	0.281586
TBC1D23	TFG	0.28156
DPM1	RPRD1B	0.281546
RASAL3	IL18RAP	0.28154
ZSCAN9	ZKSCAN8	0.281486
IKZF1	ARHGAP30	0.281484
PIK3C2A	SPTY2D1	0.281461
SIL1	RTN4IP1	0.281457
TEK	PECAM1	0.281434
RAB5A	SACM1L	0.281424
ZPR1	RNF214	0.281364
ZNF304	ZNF547	0.281326
PSMD13	NAP1L4	0.2813
JAK3	GAB3	0.281278
PRPF8	TIMM22	0.281233
CYTH4	RHOH	0.281221
WDR13	UXT	0.281216
CSTF1	AAR2	0.281187
DOCK8	GAB3	0.28113
TOMM40P4	C2orf27A	0.281122
TIE1	RAMP3	0.281116
ZCCHC4	HAUS3	0.281113
GGT5	PTGIR	0.281102
XAB2	MAP2K7	0.28109
SHOC2	SMNDC1	0.281078
TESPA1	CD226	0.28105
TBXAS1	FCER1G	0.281047
NUP98	RIC8A	0.281042
CD4	IKZF1	0.281042
CAMTA2	CTC1	0.281034
JAK3	SNX20	0.281016
CHMP5	NFX1	0.281001
PIAS4	MLLT1	0.280992
LARS2	SMARCC1	0.280967
PEX3	PPIL4	0.28096
FAM76B	JRKL	0.280955
MS4A6A	PLXNC1	0.280953
ACVRL1	DIPK2B	0.280931
RANBP3	MLLT1	0.280924
LAPTM5	LRRC25	0.280917
FAM76B	MTMR2	0.280843
TBC1D23	TOMM70	0.28082
SGIP1	LDB2	0.280819
KNL1	BUB1B	0.280806
ADGRF5	PECAM1	0.28077
GPR89A	GPR89B	0.280728
ADGRF5	ACVRL1	0.280698
BTK	IRF8	0.280692
TFG	RPL24	0.280675
CD33	TNFAIP8L2	0.280653
PIGU	CTNNBL1	0.28065
VAMP7	VMA21	0.280649
FBXL3	OBI1	0.280645
SLC30A9	TMEM33	0.280635
EHMT2	PRRC2A	0.280626
TOMM70	TRMT10C	0.280594
BTK	MFNG	0.280587
SNX20	GNG2	0.280582
FERMT3	LCK	0.280574
PDGFRB	DIPK2B	0.280569
LAMTOR3	EIF4E	0.280565
PLAA	NDUFB6	0.280559
RPUSD3	METTL6	0.280509
ABI3	DOK2	0.280509
GRPEL1	MRFAP1L1	0.280491
GAB3	ARHGAP25	0.280481
TM4SF18	EXOC3L2	0.280397
USP34	ASXL2	0.28039
MMAB	DISP1	0.28038
GEMIN4	ANKFY1	0.280358
DVL3	ABCF3	0.280334
PMP22	ZEB1	0.280285
CD86	GPR65	0.280283
PPCDC	FARS2	0.280282
CD33	MARCHF1	0.280273
